SKU,FIRST_MINIMUM_PRICE,SECOND_MINIMUM_PRICE
11333,$1849.00,$304.00
11334,$329.00,$339.00
11335,$304.00,$315.00
11336,$2725.00,$334.00
11337,$2725.00,$334.00
11338,$156.00,$278.00
11340,$3500.00,$949.00
11342,$1022.00,$1500.00
11343,$228.00,$289.99
11344,$115.00,$145.00
11345,$2499.00,$3618.99
11346,$1099.00,$499.97
11347,$1200.00,$1246.99
11348,$255.00,$325.55
11349,$239.00,$249.00
11350,$1499.00,$225.00
11351,$1022.34,$4062.00
11352,$320.00,$411.00
11353,$2000.00,$2614.99
11354,$325.00,$390.00
11355,$390.00,$390.00
11356,$250.00,$259.99
11357,$383.00,$385.00
11358,$1250.00,$1259.00
11359,$119.00,$127.00
11360,$139.00,$140.00
11361,$127.00,$165.00
11362,$132.00,$175.00
11363,$129.94,$135.00
11364,$120.00,$139.00
11365,$425.00,$475.00
11366,$425.00,$475.00
11367,$350.00,$443.00
11368,$395.00,$455.00
11369,$435.00,$450.00
11370,$1750.00,$509.00
11371,$1094.98,$1129.00
11372,$1050.00,$1069.00
11373,$1080.00,$1084.00
11374,$125.00,$133.00
11376,$1650.00,$295.00
11377,$185.00,$199.00
11378,$180.00,$215.00
11379,$119.99,$162.00
11380,$158.00,$200.00
11381,$120.00,$125.00
11382,$210.00,$217.00
11383,$312.00,$315.00
11384,$150.00,$218.00
11385,$1800.00,$2258.99
11386,$125.00,$269.98
11388,$260.00,$297.00
11389,$316.00,$354.00
11390,$1799.99,$189.00
11391,$1799.99,$189.00
11392,$199.00,$239.00
11393,$1350.00,$159.00
11394,$165.00,$169.00
11395,$285.00,$311.00
11397,$171.00,$219.99
11398,"195,761?","2,662,337?"
11399,$189.98,$190.00
11400,$1000.00,$215.00
11401,$108.95,$109.00
11402,$162.00,$175.00
11403,$209.00,$209.00
11404,$130.00,$155.00
11405,$269.94,$275.00
11406,$225.00,$228.00
11407,$114.98,$119.00
11408,$163.89,$245.00
11409,$219.00,$228.00
11410,$206.00,$209.00
11411,$129.00,$129.00
11412,$135.00,$140.00
11413,$195.00,$195.00
11414,$154.99,$45.00
11415,$1700.00,$234.00
11416,$144.00,$149.00
11417,$525.00,$525.00
11418,$1039.99,$1050.00
11419,$1012.84,$1020.97
11420,$407.00,$425.00
11421,$300.00,$325.00
11422,$215.00,$219.00
11423,$1316.99,$1362.00
11424,$1074.00,$177.00
11425,$195.00,$197.00
11426,$159.00,$219.00
11427,$2287.99,$2412.00
11428,$129.94,$133.00
11429,$200.00,$210.00
11430,$239.00,$241.00
11431,$1643.99,$1704.00
11432,$1680.00,$199.00
11433,$278.00,$284.00
11434,$189.00,$202.00
11435,$1000.00,$1200.00
11436,$621.00,$625.00
11437,$399.98,$400.00
11438,$1099.00,$1099.00
11439,$1160.00,$1485.97
11440,$1110.00,$1200.00
11441,$695.00,$810.00
11442,$514.99,$750.00
11444,$1582.00,$1650.00
11445,$1582.00,$1650.00
11446,$1000.00,$1004.00
11448,$1333.33,$1333.33
11449,$1040.00,$725.00
11451,$1119.00,$1150.00
11452,$1095.00,$1364.99
11453,$1099.97,$1100.00
11454,$1080.00,$1100.00
11455,$1098.00,$1120.00
11456,$1887.89,$599.00
11458,$2516.99,$2652.00
11459,$129.00,$129.98
11460,$449.00,$450.00
11461,$1824.89,$459.00
11463,$557.00,$650.00
11464,$535.00,$560.00
11465,$789.00,$795.00
11466,$1076.00,$1210.00
11467,$1195.00,$1200.00
11468,$1251.00,$1399.00
11469,$1095.00,$1578.95
11470,$1250.00,$1400.00
11471,$1034.00,$549.00
11472,$1908.00,$300.00
11473,$149.94,$149.99
11476,$185.00,$190.00
11477,$152.00,$159.98
11478,$133.00,$140.00
11479,$1324.99,$2450.00
11480,$1710.00,$459.00
11481,$1095.00,$327.97
11482,$139.00,$144.95
11483,$139.00,$144.95
11484,$170.00,$195.00
11485,$170.00,$195.00
11486,$1099.99,$300.00
11487,$299.00,$299.00
11488,$175.00,$175.00
11489,$179.99,$188.00
11491,$248.99,$275.00
11492,$123.95,$198.98
11493,$1071.75,$1125.00
11494,$325.00,$350.00
11495,$139.00,$170.00
11496,$185.00,$195.00
11497,$139.97,$230.00
11498,$109.95,$134.00
11499,$160.00,$195.00
11500,$1125.00,$345.00
11501,$137.00,$175.00
11502,$139.00,$164.00
11503,$124.95,$135.00
11505,$175.00,$179.00
11506,$135.00,$139.00
11507,$177.00,$185.00
11508,$1000.00,$1040.00
11509,$450.00,$475.00
11510,$1220.00,$2400.00
11511,$390.00,$495.00
11512,$799.99,$825.00
11513,$1100.00,$495.00
11514,$485.00,$495.00
11515,$395.00,$475.89
11516,$1000.00,$1009.89
11517,$1000.00,$1095.00
11518,$675.00,$789.99
11519,$200.00,$280.00
11520,$325.00,$463.65
11522,$1225.005,$147.00
11523,$190.00,$195.00
11524,$209.99,$225.00
11525,$162.00,$162.00
11526,$288.00,$288.00
11527,$234.95,$241.00
11528,$1099.00,$1199.00
11529,$2990.00,$425.00
11530,$449.00,$545.00
11531,$419.99,$479.00
11532,$1150.00,$495.00
11533,$449.00,$450.00
11534,$1050.00,$1099.00
11535,$685.00,$695.00
11536,$685.00,$695.00
11537,$575.00,$579.00
11539,$499.00,$538.89
11540,$1968.00,$250.00
11541,$2000.00,$340.00
11542,$225.00,$234.00
11543,$199.99,$248.00
11544,$139.00,$159.00
11545,$175.00,$188.95
11546,$127.00,$160.00
11547,$205.00,$209.00
11548,$170.00,$177.98
11549,$170.00,$177.98
11550,$1099.00,$206.00
11551,$250.00,$275.00
11552,$1500.00,$1699.00
11553,$1514.00,$244.95
11554,$1299.00,$180.00
11555,$1110.00,$1500.00
11556,$390.00,$395.00
11557,$1035.00,$385.00
11559,$139.00,$145.00
11560,$1895.00,$2176.00
11561,"$10,540","$31,500"
11562,$2525.00,$2530.00
11563,$2300.00,$2395.00
11564,$3200.00,$3400.00
11565,$133.13,$135.00
11566,$139.00,$165.00
11567,$119.00,$132.00
11568,$177.00,$188.00
11570,$245.00,$245.00
11571,$190.00,$190.00
11572,$109.00,$114.95
11573,$109.00,$114.95
11574,$224.95,$228.00
11575,$142.00,$151.00
11576,$150.00,$152.00
11577,$129.00,$162.00
11578,$120.00,$129.00
11579,$114.95,$129.00
11580,$152.00,$155.00
11581,$137.00,$145.00
11582,$105.00,$149.99
11583,$209.00,$209.00
11584,$129.99,$209.00
11585,$112.95,$125.00
11586,$139.00,$145.00
11587,$129.00,$130.00
11588,$236.00,$249.00
11589,$155.00,$155.00
11590,"139,829?","144,304?"
11592,$158.00,$163.00
11593,$389.00,$395.00
11594,$1349.00,$325.00
11595,$184.94,$189.00
11596,$1650.00,$194.94
11597,$202.00,$219.95
11598,$169.00,$175.00
11599,$145.00,$185.00
11600,$2058.00,$240.00
11601,$182.00,$219.65
11603,$135.00,$247.00
11604,$395.00,$449.99
11605,$430.00,$499.99
11606,$158.00,$191.00
11607,$239.00,$329.99
11608,$333.33,$506.00
11609,$1145.00,$1202.00
11610,$1099.00,$1099.95
11611,$1212.00,$152.00
11612,$145.00,$274.97
11613,$149.99,$166.00
11614,$109.00,$180.00
11615,$1950.00,$259.99
11616,$455.00,$459.98
11618,$1150.00,$2364.00
11619,$221.00,$350.00
11620,$145.00,$152.00
11621,$215.00,$229.00
11622,$485.00,$499.00
11624,$500.00,$525.00
